# Starting up: N=100 dt=1.000000e-05 pad=2.000000e+00 L=1.000000e+00
time	PV	NkT	PV/NkT	Energy
1.000010e+00 1.795947e+01 1.725145e+01 1.041041e+00 0.000000e+00
2.000010e+00 1.658559e+01 1.715491e+01 9.668133e-01 0.000000e+00
3.000010e+00 1.724763e+01 1.715436e+01 1.005437e+00 0.000000e+00
4.000010e+00 1.659629e+01 1.715346e+01 9.675186e-01 0.000000e+00
5.000020e+00 1.739951e+01 1.715472e+01 1.014269e+00 0.000000e+00
6.000030e+00 1.774048e+01 1.715337e+01 1.034227e+00 0.000000e+00
7.000040e+00 1.656312e+01 1.715423e+01 9.655411e-01 0.000000e+00
8.000050e+00 1.763474e+01 1.715368e+01 1.028045e+00 0.000000e+00
9.000060e+00 1.686798e+01 1.715339e+01 9.833612e-01 0.000000e+00
1.000007e+01 1.758318e+01 1.715363e+01 1.025041e+00 0.000000e+00
1.100008e+01 1.655216e+01 1.715289e+01 9.649778e-01 0.000000e+00
1.200009e+01 1.775976e+01 1.715402e+01 1.035312e+00 0.000000e+00
1.300010e+01 1.810619e+01 1.715439e+01 1.055484e+00 0.000000e+00
1.400011e+01 1.539865e+01 1.715419e+01 8.976614e-01 0.000000e+00
1.500012e+01 1.818929e+01 1.715363e+01 1.060375e+00 0.000000e+00
1.600013e+01 1.675917e+01 1.715420e+01 9.769720e-01 0.000000e+00
1.700014e+01 1.818824e+01 1.715362e+01 1.060315e+00 0.000000e+00
1.800015e+01 1.621233e+01 1.715328e+01 9.451446e-01 0.000000e+00
1.900016e+01 1.581164e+01 1.715407e+01 9.217426e-01 0.000000e+00
2.000017e+01 1.732166e+01 1.715404e+01 1.009771e+00 0.000000e+00
2.100018e+01 1.973535e+01 1.715386e+01 1.150490e+00 0.000000e+00
2.200019e+01 1.479452e+01 1.715385e+01 8.624608e-01 0.000000e+00
2.300020e+01 1.796105e+01 1.715337e+01 1.047086e+00 0.000000e+00
2.400021e+01 1.703938e+01 1.715375e+01 9.933327e-01 0.000000e+00
2.500022e+01 1.703034e+01 1.715377e+01 9.928047e-01 0.000000e+00
2.600023e+01 1.704261e+01 1.715314e+01 9.935560e-01 0.000000e+00
2.700024e+01 1.701386e+01 1.715435e+01 9.918102e-01 0.000000e+00
2.800025e+01 1.749952e+01 1.715438e+01 1.020120e+00 0.000000e+00
2.900026e+01 1.871803e+01 1.715341e+01 1.091213e+00 0.000000e+00
3.000027e+01 1.536717e+01 1.715426e+01 8.958224e-01 0.000000e+00
3.100028e+01 1.781443e+01 1.715319e+01 1.038549e+00 0.000000e+00
3.200029e+01 1.840975e+01 1.715431e+01 1.073185e+00 0.000000e+00
3.300029e+01 1.465188e+01 1.715454e+01 8.541107e-01 0.000000e+00
3.400029e+01 1.862554e+01 1.715327e+01 1.085831e+00 0.000000e+00
3.500029e+01 1.691817e+01 1.715388e+01 9.862589e-01 0.000000e+00
3.600029e+01 1.754198e+01 1.715323e+01 1.022663e+00 0.000000e+00
3.700029e+01 1.559633e+01 1.715396e+01 9.091970e-01 0.000000e+00
3.800029e+01 1.703124e+01 1.715544e+01 9.927604e-01 0.000000e+00
3.900029e+01 1.898141e+01 1.715394e+01 1.106534e+00 0.000000e+00
4.000029e+01 1.597445e+01 1.715412e+01 9.312309e-01 0.000000e+00
4.100029e+01 1.645818e+01 1.715407e+01 9.594331e-01 0.000000e+00
4.200029e+01 1.903350e+01 1.715423e+01 1.109551e+00 0.000000e+00
4.300029e+01 1.623085e+01 1.715372e+01 9.462002e-01 0.000000e+00
4.400029e+01 1.885052e+01 1.715357e+01 1.098927e+00 0.000000e+00
4.500029e+01 1.717298e+01 1.715302e+01 1.001164e+00 0.000000e+00
4.600029e+01 1.502586e+01 1.715383e+01 8.759474e-01 0.000000e+00
4.700029e+01 1.764446e+01 1.715401e+01 1.028591e+00 0.000000e+00
4.800029e+01 1.844177e+01 1.715419e+01 1.075059e+00 0.000000e+00
4.900029e+01 1.612761e+01 1.715270e+01 9.402370e-01 0.000000e+00
5.000029e+01 1.592813e+01 1.715462e+01 9.285037e-01 0.000000e+00
5.100029e+01 1.878356e+01 1.715412e+01 1.094989e+00 0.000000e+00
5.200029e+01 1.604118e+01 1.715272e+01 9.351976e-01 0.000000e+00
5.300029e+01 1.772587e+01 1.715355e+01 1.033364e+00 0.000000e+00
5.400029e+01 1.706574e+01 1.715311e+01 9.949061e-01 0.000000e+00
5.500029e+01 1.827502e+01 1.715374e+01 1.065367e+00 0.000000e+00
5.600029e+01 1.500316e+01 1.715305e+01 8.746640e-01 0.000000e+00
5.700029e+01 1.878811e+01 1.715305e+01 1.095322e+00 0.000000e+00
5.800029e+01 1.610129e+01 1.715357e+01 9.386556e-01 0.000000e+00
5.900029e+01 2.000094e+01 1.715373e+01 1.165982e+00 0.000000e+00
6.000029e+01 1.491461e+01 1.715414e+01 8.694466e-01 0.000000e+00
6.100029e+01 1.720642e+01 1.715361e+01 1.003078e+00 0.000000e+00
6.200029e+01 1.652060e+01 1.715358e+01 9.630994e-01 0.000000e+00
6.300029e+01 1.912169e+01 1.715430e+01 1.114688e+00 0.000000e+00
6.400029e+01 1.628635e+01 1.715415e+01 9.494116e-01 0.000000e+00
6.500029e+01 1.676237e+01 1.715309e+01 9.772216e-01 0.000000e+00
6.600029e+01 1.752080e+01 1.715323e+01 1.021429e+00 0.000000e+00
