# Starting up: N=10000 dt=1.000000e-03 pad=2.000000e+00 L=1.000000e+00
time	PV	NkT	PV/NkT	Energy
1.000000e+00 0.000000e+00 1.084343e+02 0.000000e+00 0.000000e+00
2.001000e+00 2.172276e+00 1.078418e+02 2.014316e-02 0.000000e+00
3.002000e+00 6.891133e+00 1.064199e+02 6.475420e-02 0.000000e+00
4.003000e+00 1.113030e+01 1.053359e+02 1.056649e-01 0.000000e+00
5.003000e+00 1.272730e+01 1.045430e+02 1.217423e-01 0.000000e+00
6.003000e+00 1.611195e+01 1.033905e+02 1.558359e-01 0.000000e+00
7.003000e+00 1.681273e+01 1.025943e+02 1.638758e-01 0.000000e+00
8.003000e+00 1.875601e+01 1.015063e+02 1.847768e-01 0.000000e+00
9.004000e+00 1.782870e+01 1.006591e+02 1.771196e-01 0.000000e+00
1.000500e+01 1.847179e+01 9.961897e+01 1.854244e-01 0.000000e+00
1.100600e+01 1.957063e+01 9.890313e+01 1.978767e-01 0.000000e+00
1.200700e+01 2.000094e+01 9.836850e+01 2.033267e-01 0.000000e+00
1.300800e+01 2.167453e+01 9.777175e+01 2.216850e-01 0.000000e+00
1.400900e+01 2.090212e+01 9.721671e+01 2.150055e-01 0.000000e+00
1.501000e+01 2.010129e+01 9.700082e+01 2.072280e-01 0.000000e+00
1.601100e+01 2.349382e+01 9.605006e+01 2.445997e-01 0.000000e+00
1.701100e+01 2.297613e+01 9.584281e+01 2.397272e-01 0.000000e+00
1.801100e+01 2.213941e+01 9.544774e+01 2.319532e-01 0.000000e+00
1.901100e+01 2.186807e+01 9.540050e+01 2.292238e-01 0.000000e+00
2.001100e+01 2.233827e+01 9.475864e+01 2.357386e-01 0.000000e+00
2.101100e+01 2.525802e+01 9.462183e+01 2.669365e-01 0.000000e+00
2.201100e+01 2.213235e+01 9.442204e+01 2.343981e-01 0.000000e+00
2.301100e+01 2.294050e+01 9.460137e+01 2.424965e-01 0.000000e+00
2.401100e+01 2.274082e+01 9.385289e+01 2.423028e-01 0.000000e+00
2.501100e+01 2.349238e+01 9.368415e+01 2.507615e-01 0.000000e+00
2.601100e+01 2.230242e+01 9.354416e+01 2.384159e-01 0.000000e+00
2.701100e+01 2.262232e+01 9.330368e+01 2.424590e-01 0.000000e+00
2.801100e+01 2.122608e+01 9.305615e+01 2.280997e-01 0.000000e+00
2.901100e+01 2.395027e+01 9.307543e+01 2.573210e-01 0.000000e+00
3.001100e+01 2.274820e+01 9.281056e+01 2.451035e-01 0.000000e+00
3.101100e+01 2.347025e+01 9.254848e+01 2.535995e-01 0.000000e+00
3.201100e+01 2.246647e+01 9.252766e+01 2.428081e-01 0.000000e+00
3.301200e+01 2.368971e+01 9.273579e+01 2.554538e-01 0.000000e+00
3.401300e+01 2.198834e+01 9.251393e+01 2.376760e-01 0.000000e+00
3.501400e+01 2.255323e+01 9.224970e+01 2.444803e-01 0.000000e+00
3.601500e+01 2.208418e+01 9.205535e+01 2.399011e-01 0.000000e+00
3.701600e+01 2.382196e+01 9.219210e+01 2.583948e-01 0.000000e+00
3.801700e+01 2.117303e+01 9.203395e+01 2.300567e-01 0.000000e+00
3.901800e+01 2.380387e+01 9.192763e+01 2.589414e-01 0.000000e+00
4.001900e+01 2.133874e+01 9.144224e+01 2.333576e-01 0.000000e+00
4.102000e+01 2.412686e+01 9.175933e+01 2.629363e-01 0.000000e+00
4.202100e+01 2.277056e+01 9.124390e+01 2.495571e-01 0.000000e+00
4.302200e+01 2.284666e+01 9.094309e+01 2.512193e-01 0.000000e+00
4.402300e+01 2.246470e+01 9.082554e+01 2.473390e-01 0.000000e+00
4.502400e+01 2.165238e+01 9.108457e+01 2.377173e-01 0.000000e+00
4.602500e+01 2.124312e+01 9.097808e+01 2.334972e-01 0.000000e+00
4.702600e+01 2.180257e+01 9.078303e+01 2.401613e-01 0.000000e+00
4.802700e+01 2.329595e+01 9.101334e+01 2.559620e-01 0.000000e+00
4.902800e+01 2.252109e+01 9.079193e+01 2.480516e-01 0.000000e+00
5.002900e+01 2.232776e+01 9.069245e+01 2.461921e-01 0.000000e+00
5.103000e+01 2.196486e+01 9.074079e+01 2.420616e-01 0.000000e+00
5.203100e+01 2.223702e+01 9.058585e+01 2.454801e-01 0.000000e+00
5.303200e+01 2.128193e+01 9.059769e+01 2.349058e-01 0.000000e+00
5.403300e+01 2.124390e+01 9.034223e+01 2.351492e-01 0.000000e+00
5.503400e+01 2.224389e+01 9.058456e+01 2.455594e-01 0.000000e+00
5.603500e+01 2.277075e+01 9.039254e+01 2.519096e-01 0.000000e+00
5.703600e+01 2.112252e+01 9.062822e+01 2.330678e-01 0.000000e+00
5.803700e+01 2.281601e+01 9.031082e+01 2.526387e-01 0.000000e+00
5.903800e+01 2.054313e+01 8.993137e+01 2.284312e-01 0.000000e+00
6.003900e+01 2.265429e+01 8.991504e+01 2.519522e-01 0.000000e+00
6.104000e+01 2.201027e+01 8.948408e+01 2.459685e-01 0.000000e+00
6.204100e+01 2.282721e+01 8.958933
